청구일,종목명,상태,자본금(백만),매출액(백만),당기순이익(백만),주간사,주업종,수요예측일,희망공모가(원),확정공모가,공모금액(백만),예측일,공모희망가(원),공모가(원),공모금액(백만원),기관경쟁률,의무보유확약,공모주일정,희망공모가,청약경쟁률,분석,신규상장일,현재가(원),전일비(%),공모가대비등락률(%),시초가(원),시초/공모(%),첫날종가(원),
2022/01/25,쓰리디팩토리,,"1,449","11,435",-96,NH투자증권,소프트웨어 개발 및 공급업,,,,,,,,,,,,,,,,,,,,,,
2022/01/12,미래에셋비전스팩1호,,32,0,-14,미래에셋증권,기타 금융업,,,,,,,,,,,,,,,,,,,,,,
2022/01/06,샤페론,,"9,701",0,"-26,543",NH투자증권,기초 의약물질 및 생물학적 제제,,,,,,,,,,,,,,,,,,,,,,
2022/01/05,SK쉴더스(유가),,"37,942","305,122","21,833","NH투자증권,KB증권","경비, 경호 및 탐정업",,,,,,,,,,,,,,,,,,,,,,
2022/01/05,쏘카(유가),,"2,879","261,824","-67,745",미래에셋증권,운송장비 임대업,,,,,,,,,,,,,,,,,,,,,,
2021/12/23,키움스팩6호,,23,0,0,키움증권,금융 지원 서비스업,,,,,,,,,,,,,,,,,,,,,,
2021/12/23,가온칩스,,"4,714","17,098","1,852",대신증권,반도체 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/12/22,에이치피에스피,,"8,354","61,174","17,658",NH투자증권,특수 목적용 기계 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/12/21,핀텔,,"3,948","4,886",-24,대신증권,소프트웨어 개발 및 공급업,,,,,,,,,,,,,,,,,,,,,,
2021/12/21,교보생명보험(유가),,"102,500","15,708,927","382,865",NH투자증권,보험업,,,,,,,,,,,,,,,,,,,,,,
2021/12/17,유진스팩8호,승인,92,0,0,유진투자증권,금융 지원 서비스업,,,,,,,,,,,,,,,,,,,,,,
2021/12/17,미코세라믹스,,"2,723","67,615","9,389",KB증권,반도체 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/12/17,영창케미칼,,"8,056","60,760","2,506",하나금융투자,기타 화학제품 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/12/16,알피바이오,,"3,421","97,923","4,616",한국투자증권,의약품 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/12/15,위니아에이드,,"4,982","418,527","24,895",신한금융투자,기타 운송관련 서비스업,,,,,,,,,,,,,,,,,,,,,,
2021/12/13,현대오일뱅크(유가),,"1,225,412","12,491,005","-457,484","NH투자증권,KB증권,CS증권",석유 정제품 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/12/03,코난테크놀로지,,"2,222","14,001","1,488",한국투자증권,소프트웨어 개발 및 공급업,,,,,,,,,,,,,,,,,,,,,,
2021/12/03,포바이포,,"4,290","13,993","1,354",미래에셋증권,"영화, 비디오물, 방송프로그램 제",,,,,,,,,,,,,,,,,,,,,,
2021/12/02,신한서부티엔디리츠(유가),상장,"55,955",0,0,,비주거용 건물 임대업,,,,,,,,,,,,,,,,,,,,,,
2021/11/26,루닛,,"5,454","1,430","-83,739",NH투자증권,소프트웨어 개발 및 공급업,,,,,,,,,,,,,,,,,,,,,,
2021/11/26,원스토어(유가),,"10,959","155,218","1,952","KB증권,NH투자증권,SK증권",기타 정보 서비스업,,,,,,,,,,,,,,,,,,,,,,
2021/11/25,미래에셋글로벌리츠(유가),상장,"29,360",0,0,,부동산 임대업,,,,,,,,,,,,,,,,,,,,,,
2021/11/23,한국스팩10호,승인,40,0,0,한국투자증권,금융 지원 서비스업,2022.01.25~01.26,"2,000~2,000",-,"9,000",,,,,,,2022.02.10~02.11,"2,000~2,000",,,,,,,,,,
2021/11/18,SK증권스팩7호,승인,62,0,0,SK증권,기타 금융업,2022.02.16~02.17,"2,000~2,000",-,"6,000",,,,,,,2022.02.22~02.23,"2,000~2,000",,,,,,,,,,
2021/11/15,비플라이소프트,,"2,732","24,386","-3,424",IBK투자증권,소프트웨어 개발 및 공급업,,,,,,,,,,,,,,,,,,,,,,
2021/11/15,신한스팩9호,,53,0,0,신한금융투자,금융 지원 서비스업,,,,,,,,,,,,,,,,,,,,,,
2021/11/12,청담글로벌,,"7,662","70,387",849,"KB증권,대신증권",생활용품 도매업,,,,,,,,,,,,,,,,,,,,,,
2021/11/12,파인메딕스,철회,499,"7,910",-680,한국투자증권,의료용 기기 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/11/12,트레져헌터,,"3,771","26,481","-6,232",대신증권,"영화, 비디오물, 방송프로그램 제",,,,,,,,,,,,,,,,,,,,,,
2021/11/12,넥스트칩,,"7,353","10,383","-13,496",대신증권,반도체 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/11/12,세아메카닉스,승인,"2,184","82,695","4,254",신한금융투자,기타 금속 가공제품 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/11/10,NH올원리츠(유가),상장,"21,100",0,0,한국투자증권,부동산 개발 및 공급업,,,,,,,,,,,,,,,,,,,,,,
2021/11/10,성일하이텍,,"4,602","65,939","-2,998","대신증권,KB증권",기초 화학물질 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/11/10,애니메디솔루션,,"5,074",132,"-4,555",NH투자증권,의료용 기기 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/11/08,이뮨메드,,"7,253",320,"-17,182","대신증권,미래에셋증권,KB증권",의료용품 및 기타 의약 관련제품,,,,,,,,,,,,,,,,,,,,,,
2021/11/03,넥스트바이오메디컬,,"3,420","2,261","-24,477",한국투자증권,의료용 기기 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/11/02,하나금융스팩21호,승인,141,0,0,하나금융투자,금융 지원 서비스업,2022.02.09~02.10,"2,000~2,000",-,"12,000",,,,,,,2022.02.15~02.16,"2,000~2,000",,,,,,,,,,
2021/11/02,에이프릴바이오,,"9,179",0,"-10,220",NH투자증권,자연과학 및 공학 연구개발업,,,,,,,,,,,,,,,,,,,,,,
2021/10/28,범한퓨얼셀,,"3,300","31,900","3,457",NH투자증권,"전동기, 발전기 및 전기 변환 ·",,,,,,,,,,,,,,,,,,,,,,
2021/10/28,에이엘티,,"3,781","30,699","9,773",미래에셋증권,전자부품 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/10/27,IBKS스팩17호,승인,22,0,0,IBK투자증권,금융 지원 서비스업,2022.02.03~02.04,"2,000~2,000",-,"5,000",,,,,,,2022.02.08~02.09,"2,000~2,000",,,,,,,,,,
2021/10/27,선바이오,,"5,841","5,459","1,202",하나금융투자,의약품 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/10/22,디비금융스팩10호,상장,584,0,0,DB금융투자,기타 금융업,2022.01.06~01.07,"2,000~2,000","2,000","10,000",2022.01.06,"2,000~2,000","2,000","10,000",,-,2022.01.10~01.11,"2,000~2,000",234.95:1,,2022/01/20,"2,135",0.47%,6.75%,"2,075",3.75%,"2,115",
2021/10/18,디앤디파마텍,,"4,422",89,"-11,235",한국투자증권,자연과학 및 공학 연구개발업,,,,,,,,,,,,,,,,,,,,,,
2021/10/14,하나금융스팩20호,상장,305,0,0,하나금융투자,금융 지원 서비스업,2021.12.13~12.14,"2,000~2,000","2,000","6,000",2021.12.13,"2,000~2,000","2,000","6,000",,-,2021.12.16~12.17,"2,000~2,000",339.28:1,,2021/12/27,"2,730",-5.21%,36.5%,"2,130",6.5%,"2,135",
2021/10/14,대명에너지,승인,"1,500","159,386","8,132","한국투자증권,삼성증권",건물 건설업,,,,,,,,,,,,,,,,,,,,,,
2021/10/13,퓨쳐메디신,,"4,637",0,"-10,502",NH투자증권,의학 및 약학 연구개발업,,,,,,,,,,,,,,,,,,,,,,
2021/10/08,스톤브릿지벤처스,승인,"7,528","24,509","12,819","KB증권,삼성증권",기타 금융업,2022.02.09~02.10,"9,000~10,500",-,"40,500",,,,,,,2022.02.15~02.16,"9,000~10,500",,,,,,,,,,
2021/10/07,태림페이퍼(유가),,"13,776","743,349","76,395","신한금융투자,하나금융투자","펄프, 종이 및 판지 제조업",,,,,,,,,,,,,,,,,,,,,,
2021/09/30,현대엔지니어링(유가),승인,"37,976","7,188,429","173,940","미래에셋증권,KB증권","건축기술, 엔지니어링 및 관련 기",,,,,,,,,,,,,,,,,,,,,,
2021/09/30,바이오에프디엔씨,승인,"3,697","8,640","2,461",DB금융투자,기초 의약물질 및 생물학적 제제,2022.01.24~01.25,"23,000~29,000",-,"29,900",,,,,,,2022.02.09~02.10,"23,000~29,000",,,,,,,,,,
2021/09/29,지투파워,승인,"1,461","29,135","2,162",한국투자증권,"전동기,발전기 및 전기 변환 공급",,,,,,,,,,,,,,,,,,,,,,
2021/09/29,풍원정밀,승인,"9,020","37,117",592,대신증권,전자부품 제조업,2022.02.10~02.11,"13,200~15,200",-,"39,600",,,,,,,2022.02.17~02.18,"13,200~15,200",,,,,,,,,,
2021/09/16,래몽래인,상장,"3,124","34,650","3,153",IBK투자증권,"영화, 비디오물, 방송프로그램 제",2021.12.15~12.16,"11,500~13,000","15,000","13,800",2021.12.15,"11,500~13,000","15,000","13,800",1545.68:1,17.75%,2021.12.20~12.21,"11,500~13,000",2054.63:1,,2021/12/30,"16,100",-8.00%,7.33%,"26,000",73.33%,"24,000",
2021/09/16,에이치엔에스하이텍,철회,"3,755","78,873",-98,한국투자증권,전자부품 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/09/15,하이스팩7호,상장,512,0,0,하이투자증권,금융 지원 서비스업,2021.12.06~12.07,"2,000~2,000","2,000","10,000",2021.12.06,"2,000~2,000","2,000","10,000",,-,2021.12.09~12.10,"2,000~2,000",93.32:1,,2021/12/20,"2,095",-0.24%,4.75%,"2,060",3%,"2,085",
2021/09/15,모아데이타,승인,"2,280","13,785","2,093",하나금융투자,소프트웨어 개발 및 공급업,2022.02.21~02.22,"24,000~28,000",-,-,,,,,,,2022.02.25~02.26,"24,000~28,000",,,,,,,,,,
2021/09/14,툴젠,상장,"3,926",713,"-14,882",한국투자증권,자연과학 및 공학 연구개발업,2021.11.25~11.26,"100,000~120,000","70,000","100,000",2021.11.25,"100,000~120,000","70,000","100,000",29.54:1,0.10%,2021.12.02~12.03,"100,000~120,000",164.13:1,,2021/12/10,"71,000",-4.05%,1.43%,"82,300",17.57%,"91,100",
2021/09/14,아셈스,승인,"4,479","34,049","1,052",한국투자증권,플라스틱제품 제조업,2022.01.17~01.18,"7,000~8,000","8,000","14,000",2022.01.17,"7,000~8,000","8,000","14,000",1618.26:1,7.71%,2022.01.24~01.25,"7,000~8,000",2435.07:1,,2022/02/07,-,%,-%,-,%,예정,
2021/09/10,케이옥션,상장,"4,454","24,192","-2,088",신영증권,상품 중개업,2022.01.06~01.07,"17,000~20,000","20,000","27,200",2022.01.06,"17,000~20,000","20,000","27,200",1638.36:1,36.80%,2022.01.12~01.13,"17,000~20,000",1408.33:1,,2022/01/24,"40,000",-23.08%,100%,"40,000",100%,"52,000",
2021/09/07,유일로보틱스,승인,"3,183","27,952","2,505",한국투자증권,특수 목적용 기계 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/09/07,나래나노텍,승인,"4,307","82,805","2,273",미래에셋증권,특수 목적용 기계 제조업,2022.01.17~01.18,"17,500~20,500","17,500","54,250",2022.01.17,"17,500~20,500","17,500","54,250",102:1,0.97%,2022.01.24~01.25,"17,500~20,500",24.36:1,,2022/02/08,-,%,-%,-,%,예정,
2021/09/06,인카금융서비스,승인,"2,246","301,025","11,288",한국투자증권,보험 및 연금관련 서비스업,2022.01.24~01.25,"23,000~27,000",-,"20,235",,,,,,,2022.02.07~02.08,"23,000~27,000",,,,,,,,,,
2021/09/03,SK리츠(유가),상장,"77,510",0,0,"한국투자증권,삼성증권",비주거용 건물 임대업,,,,,,,,,,,,,,,,,,,,,,
2021/09/03,교보스팩11호,상장,444,0,0,교보증권,기타 금융업,2021.12.06~12.07,"2,000~2,000","2,000","8,400",2021.12.06,"2,000~2,000","2,000","8,400",,-,2021.12.09~12.10,"2,000~2,000",107:1,,2021/12/20,"2,120",-1.62%,6%,"2,065",3.25%,"2,095",
2021/09/02,비씨엔씨,승인,"4,896","47,343","2,011",NH투자증권,반도체 제조업,2022.02.16~02.17,"9,000~11,500",-,"22,500",,,,,,,2022.02.21~02.22,"9,000~11,500",,,,,,,,,,
2021/08/31,공구우먼,승인,251,"32,683","4,346",미래에셋증권,"섬유, 의복, 신발 및 가죽제품 소",,,,,,,,,,,,,,,,,,,,,,
2021/08/30,보로노이,승인,"5,656","6,180","-26,491","한국투자증권,미래에셋증권",자연과학 및 공학 연구개발업,2022.02.24~02.25,"50,000~65,000",-,"100,000",,,,,,,2022.03.07~03.08,"50,000~65,000",,,,,,,,,,
2021/08/27,브이씨,승인,"2,978","35,364","4,513",한국투자증권,운동 및 경기용구 제조업,2022.02.10~02.11,"15,000~19,500",-,"15,000",,,,,,,2022.02.15~02.16,"15,000~19,500",,,,,,,,,,
2021/08/26,노을,승인,"4,954",295,"-8,975","한국투자증권,삼성증권",자연과학 및 공학 연구개발업,,,,,,,,,,,,,,,,,,,,,,
2021/08/20,퓨런티어,승인,"3,158","15,082","-2,180","유안타증권,신한금융투자",특수 목적용 기계 제조업,2022.02.07~02.08,"11,400~13,700",-,"18,240",,,,,,,2022.02.14~02.15,"11,400~13,700",,,,,,,,,,
2021/08/18,케이티비네트워크,상장,"50,000","66,974","35,765",한국투자증권,기타 금융업,,,,,,,,,,,,,,,,,,,,,,
2021/08/18,디앤디플랫폼리츠,상장,"64,400","15,056","-2,285","NH투자증권,신한금융투자,대신증",부동산업,,,,,,,,,,,,,,,,,,,,,,
2021/08/12,대신밸런스스팩11호,상장,761,0,0,대신증권,금융 지원 서비스업,2021.11.17~11.18,"2,000~2,000","2,000","13,000",2021.11.17,"2,000~2,000","2,000","13,000",,-,2021.11.22~11.23,"2,000~2,000",150.83:1,,2021/12/02,"2,100",0.00%,5%,"2,060",3%,"2,070",
2021/08/11,바이옵트로,상장,"4,071","16,115","2,235",한국투자증권,"측정, 시험, 항해, 제어 및 기타",2021.11.03~11.04,"7,500~8,500","7,500","7,500",2021.11.03,"7,500~8,500","7,500","7,500",205.12:1,0.98%,2021.11.09~11.10,"7,500~8,500",68.11:1,,2021/11/18,"10,200",-3.32%,36%,"7,300",-2.67%,"6,290",
2021/08/10,NH스팩22호,상장,644,0,0,NH투자증권,금융 지원 서비스업,2021.12.13~12.14,"2,000~2,000","2,000","12,000",2021.12.13,"2,000~2,000","2,000","12,000",,-,2021.12.16~12.17,"2,000~2,000",362.29:1,,2021/12/24,"2,100",-0.24%,5%,"2,090",4.5%,"2,085",
2021/07/27,오토앤,상장,"6,437","49,437","3,444",미래에셋증권,자동차 신품 부품 및 내장품 판매,,,,,,,,,,,,,,,,,,,,,,
2021/07/23,이지트로닉스,승인,"2,970","15,349","3,552",NH투자증권,"전동기, 발전기 및 전기 변환 ·",2022.01.13~01.14,"19,000~22,000","22,000","37,620",2022.01.13,"19,000~22,000","22,000","37,620",1343.51:1,2.94%,2022.01.20~01.21,"19,000~22,000",887.40:1,,2022/02/04,"41,000",0.00%,86.36%,-,%,예정,
2021/07/21,윤성에프앤씨,철회,628,"128,882","13,462",미래에셋증권,"구조용 금속제품, 탱크 및 증기발",,,,,,,,,,,,,,,,,,,,,,
2021/07/21,카테노이드,철회,"2,404","13,868",-455,미래에셋증권,소프트웨어 개발 및 공급업,,,,,,,,,,,,,,,,,,,,,,
2021/07/19,아이티아이즈,상장,"2,988","51,314","3,015",신한금융투자,소프트웨어 개발 및 공급업,2021.10.25~10.26,"12,500~14,300","14,300","22,212",2021.10.25,"12,500~14,300","14,300","22,212",1601.14:1,9.11%,2021.11.01~11.02,"12,500~14,300",633.61:1,,2021/11/11,"18,700",-6.27%,30.77%,"28,600",100%,"20,050",
2021/07/15,원창포장공업,승인,"3,352","127,964","2,828",대신증권,"골판지, 종이 상자 및 종이용기 제",,,,,,,,,,,,,,,,,,,,,,
2021/07/13,신한스팩8호,상장,735,0,0,신한금융투자,금융 지원 서비스업,2021.09.08~09.09,"2,000~2,000","2,000","12,500",2021.09.08,"2,000~2,000","2,000","12,500",,-,2021.09.13~09.14,"2,000~2,000",361.39:1,,2021/09/27,"2,100",0.00%,5%,"2,100",5%,"2,080",
2021/07/12,알비더블유,상장,"3,965","37,277","3,719",미래에셋증권,오디오물 출판 및 원판 녹음업,2021.11.05~11.08,"18,700~21,400","21,400","23,431",2021.11.05,"18,700~21,400","21,400","23,431",1719.61 :1,15.98%,2021.11.11~11.12,"18,700~21,400",3706.79:1,,2021/11/22,"22,250",-4.51%,3.97%,"42,800",100%,"38,950",
2021/07/12,에스엠상선,승인,"33,844","1,032,817","107,583",NH투자증권,해상 운송업,,,,,,,,,,,,,,,,,,,,,,
2021/07/08,지니너스,상장,"5,434","3,794","-9,152",대신증권,자연과학 및 공학 연구개발업,,,,,,,,,,,,,,,,,,,,,,
2021/07/02,모비젠,철회,575,"27,820",987,하나금융투자,소프트웨어 개발 및 공급업,,,,,,,,,,,,,,,,,,,,,,
2021/07/02,에버스핀,철회,"4,026",602,"-17,020","DB금융투자,키움증권",소프트웨어 개발 및 공급업,,,,,,,,,,,,,,,,,,,,,,
2021/06/28,NH스팩20호,상장,550,0,0,NH투자증권,기타 금융업,2021.09.14~09.15,"2,000~2,000","2,000","40,000",2021.09.14,"2,000~2,000","2,000","40,000",,-,2021.09.23~09.24,"2,000~2,000",480.51:1,,2021/10/05,"2,070",0.24%,3.5%,"2,030",1.5%,"2,050",
2021/06/28,마인즈랩,상장,"3,022","11,292","-20,386","NH투자증권,하나금융투자",소프트웨어 개발 및 공급업,2021.11.08~11.09,"26,000~30,000","30,000","15,715",2021.11.08,"26,000~30,000","30,000","15,715",197.55:1,19.74%,2021.11.11~11.12,"26,000~30,000",89.9:1,,2021/11/23,"26,550",-6.35%,-11.5%,"29,650",-1.17%,"38,000",
2021/06/25,넷마블네오(유가),철회,"6,376","88,125","38,642","NH투자증권,미래에셋증권",소프트웨어 개발 및 공급업,,,,,,,,,,,,,,,,,,,,,,
2021/06/25,스코넥엔터테인먼트,승인,"4,889","4,558","-8,971",신영증권,소프트웨어 개발 및 공급업,2022.01.13~01.14,"9,000~12,000","13,000","20,036",2022.01.13,"9,000~12,000","13,000","20,036",1724.66:1,59.95%,2022.01.20~01.21,"9,000~12,000",1751.25:1,,2022/02/04,"34,500",0.00%,165.38%,-,%,예정,
2021/06/25,오아,철회,"3,112","64,976","1,857",미래에셋증권,가전제품 및 정보통신장비 소매업,,,,,,,,,,,,,,,,,,,,,,
2021/06/24,지오엘리먼트,상장,"3,096","13,180","2,457",NH투자증권,전자부품 제조업,2021.10.28~10.29,"7,600~8,700","10,000","11,757",2021.10.28,"7,600~8,700","10,000","11,757",1613.84 :1,15.23%,2021.11.02~11.03,"7,600~8,700",1537.44:1,,2021/11/11,"25,450",-6.43%,154.5%,"20,000",100%,"15,900",
2021/06/24,트윔,상장,"3,627","18,260","2,916",대신증권,소프트웨어 개발 및 공급업,2021.11.02~11.03,"17,800~20,400","22,000","21,716",2021.11.02,"17,800~20,400","22,000","21,716",1627.34:1:,9.20%,2021.11.08~11.09,"17,800~20,400",2266.84:1,,2021/11/17,"22,800",-4.40%,3.64%,"44,000",100%,"41,100",
2021/06/23,NH스팩21호,상장,746,0,0,NH투자증권,금융 지원 서비스업,2021.09.28~09.29,"2,000~2,000","2,000","12,500",2021.09.28,"2,000~2,000","2,000","12,500",,-,2021.10.05~10.06,"2,000~2,000",477.64:1,,2021/10/15,"2,305",0.00%,15.25%,"2,075",3.75%,"2,075",
2021/06/18,아이패밀리에스씨,상장,"2,060","79,218","8,747",삼성증권,기타 화학제품 제조업,2021.10.12~10.13,"39,000~48,000","25,000","38,142",2021.10.12,"39,000~48,000","25,000","38,142",63.10:1,-,2021.10.18~10.19,"39,000~48,000",20.88:1,,2021/10/28,"17,050",-0.87%,-31.8%,"28,650",14.6%,"25,400",
2021/06/16,하나금융스팩19호,상장,631,0,0,하나금융투자,금융 지원 서비스업,2021.09.15~09.16,"2,000~2,000","2,000","11,000",2021.09.15,"2,000~2,000","2,000","11,000",,-,2021.09.27~09.28,"2,000~2,000",95.76:1,,2021/10/07,"2,100",-0.47%,5%,"2,045",2.25%,"2,045",
2021/06/16,엔지노믹스,철회,"2,990","51,112","27,886",NH투자증권,자연과학 및 공학 연구개발업,,,,,,,,,,,,,,,,,,,,,,
2021/06/14,씨유테크,상장,"8,828","221,698","10,598",대신증권,전자부품 제조업,2021.09.23~09.24,"5,100~5,600","6,000","26,775",2021.09.23,"5,100~5,600","6,000","26,775",1565.03:1,22.76%,2021.09.28~09.29,"5,100~5,600",1408.69:1,,2021/10/08,"6,590",-6.92%,9.83%,"12,000",100%,"8,400",
2021/06/11,디어유,상장,"10,875","13,048","-2,250",한국투자증권,소프트웨어 개발 및 공급업,2021.10.25~10.26,"18,000~24,000","26,000","59,400",2021.10.25,"18,000~24,000","26,000","59,400",2001.11:1,37.46%,2021.11.01~11.02,"18,000~24,000",1598.15:1,,2021/11/10,"58,900",-8.82%,126.54%,"52,000",100%,"66,500",
2021/06/11,애드바이오텍,상장,"4,546","9,815","-7,345",대신증권,의약품 제조업,2022.01.06~01.07,"7,000~8,000","7,000","9,520",2022.01.06,"7,000~8,000","7,000","9,520",102.15:1,-,2022.01.13~01.14,"7,000~8,000",27.20:1,,2022/01/24,"5,530",-7.06%,-21%,"6,730",-3.86%,"5,950",
2021/06/10,지아이텍,상장,"3,935","17,189","4,165",미래에셋증권,특수 목적용 기계 제조업,2021.10.05~10.06,"11,500~13,100","14,000","31,050",2021.10.05,"11,500~13,100","14,000","31,050",2068.17 :1,25.28%,2021.10.12~10.13,"11,500~13,100",2968.35:1,,2021/10/21,"28,300",2.72%,102.14%,"28,000",100%,"36,400",
2021/06/10,유진스팩7호,상장,501,0,0,유진투자증권,금융 지원 서비스업,,,,,,,,,,,,,,,,,,,,,,
2021/06/10,시몬느액세서리컬렉션(유가),승인,"15,901","621,810","56,044","미래에셋증권,삼성증권,한국투자","가죽, 가방 및 유사제품 제조업",,,,,,,,,,,,,,,,,,,,,,
2021/06/08,LG에너지솔루션(유가),승인,"100,000","1,461,068","-451,771",KB증권,일차전지 및 축전지 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/06/04,한화종합화학(유가),철회,"425,004","1,195,020","228,854","한국투자증권,KB증권",기초 화학물질 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/06/04,케이카(유가),상장,"24,043","1,323,114","24,130",NH투자증권,자동차 판매업,,,,,,,,,,,,,,,,,,,,,,
2021/06/03,지앤비에스엔지니어링,상장,"3,582","42,392","4,554",삼성증권,특수 목적용 기계 제조업,2021.10.14~10.15,"14,300~17,400","17,400","20,377",2021.10.14,"14,300~17,400","17,400","20,377",1134.34:1,4.37%,2021.10.19~10.20,"14,300~17,400",1479.87:1,,2021/10/29,"18,600",4.20%,6.9%,"24,000",37.93%,"19,200",
2021/06/01,IBKS스팩16호,상장,341,0,0,IBK투자증권,금융 지원 서비스업,2021.08.19~08.20,"2,000~2,000","2,000",100,2021.08.19,"2,000~2,000","2,000",100,,-,2021.08.24~08.25,"2,000~2,000",388.37:1,,2021/09/03,"2,150",0.00%,7.5%,"4,000",100%,"2,475",
2021/05/31,롯데렌탈(유가),상장,"183,170","2,100,809","23,307","한국투자증권,NH투자증권,KB증권",자동차 임대업,,,,,,,,,,,,,,,,,,,,,,
2021/05/28,원준,상장,502,"64,030","4,412",NH투자증권,특수 목적용 기계 제조업,2021.09.15~09.16,"52,000~60,000","65,000","52,249",2021.09.15,"52,000~60,000","65,000","52,249",1464.10:1,44.30%,2021.09.27~09.28,"52,000~60,000",1623.28:1,,2021/10/07,"106,700",-6.16%,64.15%,"102,000",56.92%,"87,000",
2021/05/26,아스플로,상장,"2,222","44,784","6,964",미래에셋증권,일반 목적용 기계 제조업,2021.09.16~09.17,"19,000~22,000","25,000","11,970",2021.09.16,"19,000~22,000","25,000","11,970",2142.7:1,12.10%,2021.09.27~09.28,"19,000~22,000",2818.08:1,,2021/10/07,"21,350",-3.83%,-14.6%,"36,000",44%,"28,350",
2021/05/26,엔켐,상장,"7,553","138,888",501,"신한금융투자,대신증권",기초 화학물질 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/05/25,피코그램,상장,306,"24,273","1,957",IBK투자증권,기타 제품 제조업,2021.10.19~10.20,"11,000~12,500","12,500","11,000",2021.10.19,"11,000~12,500","12,500","11,000",1472.19:1,12.96%,2021.10.25~10.26,"11,000~12,500",1520.35:1,,2021/11/03,"16,350",-10.41%,30.8%,"25,000",100%,"18,600",
2021/05/25,대신밸런스스팩10호,상장,546,0,0,대신증권,금융 지원 서비스업,-~-,"2,000~2,000","2,000","10,000",-,"2,000~2,000","2,000","10,000",,-,2021.09.06~09.07,"2,000~2,000",207.57:1,,2021/09/17,"2,160",0.23%,8%,"2,305",15.25%,"2,220",
2021/05/13,한화플러스스팩2호,상장,416,0,0,한화투자증권,기타 금융업,2021.07.21~07.22,"2,000~2,000","2,000","7,500",2021.07.21,"2,000~2,000","2,000","7,500",,-,2021.07.26~07.27,"2,000~2,000",481.19:1,,2021/08/05,"2,230",-0.22%,11.5%,"4,000",100%,-,
2021/05/13,옵티맥,철회,"6,646","89,673","6,258",KB증권,전자부품 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/05/13,와이바이오로직스,철회,"6,140","6,731","-10,432",한국투자증권,기초 의약물질 및 생물학적 제제,,,,,,,,,,,,,,,,,,,,,,
2021/05/12,이앤에치,철회,"1,729","44,593","13,147","하이투자증권,IBK투자증권",기타 섬유제품 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/05/11,노보믹스,철회,"3,451",95,"-45,622","신한금융투자,대신증권",의료용 기기 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/05/11,셀바이오휴먼텍,철회,"4,547","28,588","4,215",대신증권,기타 섬유제품 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/05/07,에이엠텔레콤,철회,"2,942","61,072","10,863",DB금융투자,통신 및 방송 장비 제조업,,,,,,,,,,,,,,,,,,,,,,
2021/05/06,현대중공업(유가),상장,"443,865","8,310,181","-431,463",,선박 및 보트 건조업,,,,,,,,,,,,,,,,,,,,,,
2021/05/04,프롬바이오,상장,"1,383","108,045","-7,813",NH투자증권,기타 식품 제조업,2021.09.09~09.10,"21,500~24,500","18,000","64,500",2021.09.09,"21,500~24,500","18,000","64,500",85.71:1,1.45%,2021.09.14~09.15,"21,500~24,500",48.24:1,,2021/09/28,"9,950",-7.44%,-44.72%,"19,250",6.94%,"19,850",
2021/05/04,에이치케이이노엔,상장,"14,452","515,289","67,061","한국투자증권,삼성증권",의약품 제조업,2021.07.22~07.26,"50,000~59,000","59,000","505,850",2021.07.22,"50,000~59,000","59,000","505,850",1871.36:1,13.49%,2021.07.29~07.30,"50,000~59,000",388.9:1,,2021/08/09,"41,300",-4.07%,-30%,"68,100",15.42%,"68,500",
2021/04/30,에스앤디,상장,"2,029","56,537","7,359",유진투자증권,기타 식품 제조업,2021.09.07~09.08,"30,000~32,000","28,000","30,690",2021.09.07,"30,000~32,000","28,000","30,690",173.11:1,0.01%,2021.09.14~09.15,"30,000~32,000",4.20:1,,2021/09/29,"18,300",-1.35%,-34.64%,"25,200",-10%,"21,700",
2021/04/28,비트나인,상장,"4,110","11,576","-10,226",하나금융투자,응용소프트웨어 개발 및소프트웨어,2021.10.25~10.26,"8,700~9,700","11,000","18,017",2021.10.25,"8,700~9,700","11,000","18,017",1662.29:1,5.96%,2021.11.01~11.02,"8,700~9,700",589.64:1,,2021/11/10,"15,500",-6.06%,40.91%,"15,250",38.64%,"11,400",
