청구일,종목명,상태,자본금(백만),매출액(백만),당기순이익(백만),주간사,주업종,수요예측일,희망공모가(원),확정공모가,공모금액(백만),예측일,공모희망가(원),공모가(원),공모금액(백만원),기관경쟁률,의무보유확약,공모주일정,희망공모가,청약경쟁률,분석,신규상장일,현재가(원),전일비(%),공모가대비등락률(%),시초가(원),시초/공모(%),첫날종가(원),
2019/04/18,미디어젠,상장,"2,319","13,383",-533,교보증권,소프트웨어 개발 및 공급업,2019.10.14~10.15,"9,400~10,600","10,600","8,742",2019.10.14,"9,400~10,600","10,600","8,742",576.27:1,1.88%,2019.10.21~10.22,"9,400~10,600",573.16:1,,2019/11/05,"11,200",-6.67%,5.66%,"11,250",6.13%,"9,150",
2019/04/17,그린플러스,상장,"2,324","42,151","2,213",한국투자증권,1차 비철금속 제조업,2019.07.18~07.19,"8,500~10,000","10,000","5,950",2019.07.18,"8,500~10,000","10,000","5,950",863.94:1,5.85%,2019.07.25~07.26,"8,500~10,000",700.96:1,,2019/08/07,"14,050",-3.10%,40.5%,"11,150",11.5%,"10,700",
2019/04/17,에스피시스템스,상장,814,"46,873","3,235",한국투자증권,특수 목적용 기계 제조업,2019.07.29~07.30,"4,300~4,900","4,900","8,600",2019.07.29,"4,300~4,900","4,900","8,600",1116.32:1,13.68%,2019.08.05~08.06,"4,300~4,900",786.16:1,,2019/08/14,"8,080",4.39%,64.9%,"9,800",100%,"12,700",
2019/04/12,제이앤티씨,상장,"28,924","229,357","28,114","신한금융투자,유진투자증권",전자부품 제조업,2020.02.19~02.20,"8,500~10,500","11,000","93,500",2020.02.19,"8,500~10,500","11,000","93,500",1077.88:1,6.72%,2020.02.24~02.25,"8,500~10,500",3.48:1,,2020/03/04,"6,650",-2.64%,-39.55%,"10,200",-7.27%,"10,350",
2019/04/12,윌링스,상장,"2,431","54,327","4,294",신영증권,"전동기, 발전기 및 전기 변환 ·",2019.07.10~07.11,"10,000~12,500","12,500","13,820",2019.07.10,"10,000~12,500","12,500","13,820",1082.15:1,18.18%,2019.07.16~07.17,"10,000~12,500",532.83:1,,2019/07/25,"18,000",-5.26%,44%,"22,800",82.4%,"29,600",
2019/04/12,한국바이오젠,상장,"1,590","16,434","2,130",미래에셋대우,합성고무 및 플라스틱 물질 제조업,2019.07.17~07.18,"4,700~5,700","6,000","8,387",2019.07.17,"4,700~5,700","6,000","8,387","1,087.6:1",-,2019.07.23~07.24,"4,700~5,700",1019.62:1,,2019/08/01,"8,270",-3.16%,37.83%,"12,000",100%,"13,200",
2019/04/12,나노브릭,상장,"4,560","7,186",859,KB증권,기초 화학물질 제조업,2019.08.01~08.02,"18,000~22,000","16,000","8,208",2019.08.01,"18,000~22,000","16,000","8,208",39.3:1,-,2019.08.07~08.08,"18,000~22,000",2.58:1,,2019/08/19,"2,970",-2.78%,-81.44%,"14,400",-10%,"14,800",
2019/04/10,아톤,상장,"2,107","28,033","4,096","엔에이치투자증권,KB증권",소프트웨어 개발 및 공급업,,,,,,,,,,,,,,,,,,,,,,
2019/04/09,디비금융스팩7호,상장,455,0,0,DB금융투자,기타 금융업,2019.05.22~05.22,"2,000~2,000","2,000","8,000",2019.05.22,"2,000~2,000","2,000","8,000",,-,2019.05.24~05.27,"2,000~2,000",269:1,,2019/05/31,-,%,%,"2,080",4%,"2,700",
2019/04/05,펌텍코리아,상장,941,"151,070","20,776",한국투자증권,플라스틱제품 제조업,2019.06.18~06.19,"240,000~270,000","190,000","153,600",2019.06.18,"240,000~270,000","190,000","153,600",5.75:1,-,2019.06.25~06.26,"240,000~270,000",0.51:1,,2019/07/04,"15,200",-2.88%,-92%,"171,000",-10%,"152,300",
2019/04/05,대모엔지니어링,상장,"4,162","51,026","3,119",신한금융투자,특수 목적용 기계 제조업,,,,,,,,,,,,,,,,,,,,,,
2019/04/04,에이스토리,상장,"4,659","46,446","2,320",엔에이치투자증권,방송 프로그램 제작업,,,,,,,,,,,,,,,,,,,,,,
2019/04/01,유진스팩4호,상장,349,0,0,유진투자증권,기타 금융업,2019.05.16~05.17,"2,000~2,000","2,000","6,500",2019.05.16,"2,000~2,000","2,000","6,500",,-,2019.05.22~05.23,"2,000~2,000",300.40:1,,2019/05/31,-,%,%,"2,500",25%,"3,250",
2019/04/01,플리토,상장,"2,584","3,505","-3,761",한국투자증권,"자료처리, 호스팅, 포털 및 기타",2019.07.01~07.02,"19,000~23,000","26,000","27,996",2019.07.01,"19,000~23,000","26,000","27,996",1133:1,22.00%,2019.07.08~07.09,"19,000~23,000",710.71:1,,2019/07/17,"39,700",-5.70%,52.69%,"31,600",21.54%,"27,800",
